"Municipality","Model","1","2","3","4"
"Valencia","Indep","17.81 (15.18–20.55)","56.02 (52.91–59.27)","20.73 (18.00–23.73)","5.43 (4.00–7.00)"
"Valencia","Corr","17.18 (14.45–19.91)","56.58 (53.45–59.82)","20.91 (18.09–23.64)","5.32 (4.00–6.82)"
"Valencia","Corr&IRE","17.41 (15.73–19.09)","57.31 (54.82–59.64)","20.50 (18.45–22.55)","4.78 (3.91–5.73)"
"Valencia","Observed","16.91","58.55","20.18","4.27"
"Elche","Indep","15.44 (12.03–18.81)","54.87 (50.34–59.15)","23.25 (19.49–27.29)","6.43 (4.41–8.81)"
"Elche","Corr","15.36 (12.37–18.64)","55.48 (51.36–59.83)","23.02 (19.15–26.61)","6.14 (4.24–8.31)"
"Elche","Corr&IRE","16.66 (14.41–18.98)","53.71 (50.68–56.95)","21.28 (18.47–24.07)","8.36 (6.95–9.83)"
"Elche","Observed","16.95","53.39","20.51","9.15"
"Alicante","Indep","14.83 (11.55–18.28)","54.63 (50.51–58.79)","23.85 (20.00–28.11)","6.68 (4.48–8.97)"
"Alicante","Corr","14.57 (11.55–18.10)","55.15 (50.86–59.48)","23.84 (19.82–27.76)","6.44 (4.48–8.62)"
"Alicante","Corr&IRE","16.62 (14.48–18.79)","51.35 (48.28–54.31)","23.47 (20.69–26.03)","8.57 (7.07–10.17)"
"Alicante","Observed","17.93","50.00","22.07","9.48"
"Castellón de la Plana","Indep","21.55 (15.77–28.08)","56.64 (50.77–62.69)","17.48 (12.31–23.09)","4.33 (1.92–7.31)"
"Castellón de la Plana","Corr","21.38 (15.77–27.31)","57.23 (51.54–63.46)","17.29 (12.31–22.69)","4.10 (1.92–6.92)"
"Castellón de la Plana","Corr&IRE","20.02 (16.15–23.85)","60.72 (55.77–65.38)","16.68 (13.08–20.77)","2.58 (1.54–4.23)"
"Castellón de la Plana","Observed","20.00","61.54","16.15","2.31"
"Orihuela","Indep","15.88 (10.42–21.89)","55.09 (48.44–61.98)","22.75 (16.15–29.69)","6.28 (3.12–10.42)"
"Orihuela","Corr","17.37 (11.98–23.96)","56.96 (50.00–63.55)","20.50 (14.57–26.56)","5.17 (2.08–8.85)"
"Orihuela","Corr&IRE","19.66 (16.15–23.44)","51.82 (46.88–56.77)","23.82 (19.27–28.12)","4.70 (2.60–7.29)"
"Orihuela","Observed","18.23","52.08","26.56","2.60"
"Torrevieja","Indep","15.30 (9.78–21.21)","54.48 (47.28–61.96)","23.56 (16.85–30.45)","6.65 (3.25–10.87)"
"Torrevieja","Corr","15.49 (10.31–21.74)","55.40 (47.83–63.04)","23.03 (16.29–30.43)","6.09 (2.72–10.33)"
"Torrevieja","Corr&IRE","19.88 (16.30–23.37)","48.25 (43.48–53.80)","21.89 (17.39–26.63)","9.98 (7.61–12.50)"
"Torrevieja","Observed","19.02","49.46","21.20","10.33"
