"Municipality","Model","1","2","3","4"
"Valencia","Indep","15.45 (12.82–18.09)","53.71 (50.45–56.73)","21.53 (18.82–24.37)","9.32 (7.36–11.27)"
"Valencia","Corr","14.68 (12.54–17.09)","54.05 (50.91–57.27)","21.95 (19.27–24.73)","9.32 (7.45–11.27)"
"Valencia","Corr&IRE","13.32 (12.09–14.55)","56.76 (54.82–58.64)","22.12 (20.45–23.73)","7.80 (6.91–8.73)"
"Valencia","Observed","12.36","58.82","21.82","7.00"
"Elche","Indep","9.31 (6.95–11.87)","46.02 (41.19–50.68)","28.83 (24.75–33.05)","15.85 (12.54–19.66)"
"Elche","Corr","8.60 (6.10–11.02)","45.78 (40.85–50.34)","29.76 (25.59–34.07)","15.86 (12.54–19.49)"
"Elche","Corr&IRE","12.58 (11.19–14.24)","42.57 (40.17–44.92)","23.11 (20.84–25.76)","21.74 (20.00–23.39)"
"Elche","Observed","13.90","41.86","20.51","23.56"
"Alicante","Indep","7.84 (5.51–10.52)","43.49 (38.45–48.28)","30.65 (26.90–34.66)","18.01 (14.31–21.90)"
"Alicante","Corr","7.65 (5.34–10.17)","43.81 (39.31–48.45)","30.99 (26.90–35.00)","17.54 (13.97–21.21)"
"Alicante","Corr&IRE","10.35 (8.97–11.72)","41.21 (38.96–43.45)","25.14 (22.59–27.93)","23.30 (21.38–25.17)"
"Alicante","Observed","11.03","41.21","22.76","24.48"
"Castellón de la Plana","Indep","18.64 (13.08–24.24)","55.14 (48.85–61.15)","18.58 (13.46–24.23)","7.63 (4.23–11.15)"
"Castellón de la Plana","Corr","18.18 (13.08–23.47)","55.98 (50.00–61.92)","18.56 (13.85–23.46)","7.28 (4.23–10.77)"
"Castellón de la Plana","Corr&IRE","12.36 (9.62–15.00)","66.08 (62.31–70.38)","18.01 (14.62–21.92)","3.55 (2.31–5.00)"
"Castellón de la Plana","Observed","9.62","71.92","15.00","3.46"
"Orihuela","Indep","19.04 (12.50–25.53)","55.14 (47.92–62.50)","18.38 (12.50–25.00)","7.44 (3.65–11.98)"
"Orihuela","Corr","19.73 (13.02–26.04)","56.30 (48.96–63.54)","17.41 (11.98–23.44)","6.57 (3.12–10.42)"
"Orihuela","Corr&IRE","23.65 (20.83–27.08)","48.79 (44.27–53.12)","22.37 (18.23–26.04)","5.19 (3.65–7.29)"
"Orihuela","Observed","23.44","48.44","23.96","3.65"
"Torrevieja","Indep","14.85 (9.24–21.20)","52.99 (45.65–60.33)","22.10 (15.22–29.35)","10.06 (5.43–15.22)"
"Torrevieja","Corr","14.14 (8.70–20.11)","53.26 (46.20–60.87)","22.73 (16.30–28.80)","9.87 (5.98–14.67)"
"Torrevieja","Corr&IRE","18.97 (16.30–21.74)","45.54 (41.83–50.00)","22.66 (19.01–26.63)","12.83 (10.87–15.22)"
"Torrevieja","Observed","18.48","46.20","23.91","11.41"
